arm,ref_lookback,min_ext,max_ext,volume_mult,horizon,look_id,total_entries,trades_per_up_week,n,mean,se,eligible
L,96,0.01,0.06,1.5,96h,L|96-0.01-0.06-1.5|96h,1215,31.172877214416616,1212,0.013152408852184761,0.011177496193846718,True
L,96,0.01,0.06,2.0,24h,L|96-0.01-0.06-2.0|24h,1619,41.53817959682346,1619,0.0061239424147381885,0.0026316375268201275,True
L,96,0.01,0.06,2.0,48h,L|96-0.01-0.06-2.0|48h,1392,35.71411117898595,1392,0.013751744588876803,0.007737149722904423,True
L,96,0.01,0.06,2.0,96h,L|96-0.01-0.06-2.0|96h,1162,29.813072693952353,1159,0.014677764355821495,0.011559364846745935,True
L,96,0.01,0.06,3.0,24h,L|96-0.01-0.06-3.0|24h,1375,35.27794746487477,1375,0.00848796512776049,0.002766366667210904,True
L,96,0.01,0.06,3.0,48h,L|96-0.01-0.06-3.0|48h,1215,31.172877214416616,1215,0.015800117942811723,0.00799333274089527,True
L,96,0.01,0.06,3.0,96h,L|96-0.01-0.06-3.0|96h,1038,26.631643249847283,1035,0.0160618304514852,0.0119282445507501,True
L,96,0.02,0.03,1.5,24h,L|96-0.02-0.03-1.5|24h,394,10.108735491753208,394,0.013020864271354975,0.0061911927312370985,True
L,96,0.02,0.03,1.5,48h,L|96-0.02-0.03-1.5|48h,372,9.544288332315212,372,0.021855820614964955,0.012645505990305393,True
L,96,0.02,0.03,1.5,96h,L|96-0.02-0.03-1.5|96h,350,8.979841172877215,350,0.022496212858756772,0.015278710731143182,True
L,96,0.02,0.03,2.0,24h,L|96-0.02-0.03-2.0|24h,384,9.852168601099573,384,0.01094245106601341,0.006222670005833599,True
L,96,0.02,0.03,2.0,48h,L|96-0.02-0.03-2.0|48h,362,9.287721441661576,362,0.019997898985534692,0.01258868295820813,True
L,96,0.02,0.03,2.0,96h,L|96-0.02-0.03-2.0|96h,340,8.72327428222358,340,0.021438790028032905,0.014800086299713468,True
L,96,0.02,0.03,3.0,24h,L|96-0.02-0.03-3.0|24h,334,8.5693341478314,334,0.009808272994022404,0.00634150613879549,True
L,96,0.02,0.03,3.0,48h,L|96-0.02-0.03-3.0|48h,317,8.13317043372022,317,0.018237898732984568,0.013044521742846631,True
L,96,0.02,0.03,3.0,96h,L|96-0.02-0.03-3.0|96h,302,7.748320097739768,302,0.015420802500924287,0.015271457693413168,True
L,96,0.02,0.04,1.5,24h,L|96-0.02-0.04-1.5|24h,502,12.879657910812462,502,0.01573110835732004,0.005941387632577056,True
L,96,0.02,0.04,1.5,48h,L|96-0.02-0.04-1.5|48h,463,11.879047037263287,463,0.022216844621904257,0.012465984640049547,True
L,96,0.02,0.04,1.5,96h,L|96-0.02-0.04-1.5|96h,426,10.929749541844838,426,0.02409028544506989,0.015097504571786423,True
L,96,0.02,0.04,2.0,24h,L|96-0.02-0.04-2.0|24h,491,12.597434331093464,491,0.014704762560246519,0.0060536596124546324,True
L,96,0.02,0.04,2.0,48h,L|96-0.02-0.04-2.0|48h,454,11.648136835675016,454,0.021217756380001316,0.012586010917617555,True
L,96,0.02,0.04,2.0,96h,L|96-0.02-0.04-2.0|96h,418,10.72449602932193,418,0.02373227633567112,0.015026492526468078,True
L,96,0.02,0.04,3.0,24h,L|96-0.02-0.04-3.0|24h,433,11.109346365302383,433,0.015952492646046864,0.0063655181739980795,True
L,96,0.02,0.04,3.0,48h,L|96-0.02-0.04-3.0|48h,406,10.416615760537569,406,0.02237039017657322,0.012726859155143782,True
L,96,0.02,0.04,3.0,96h,L|96-0.02-0.04-3.0|96h,381,9.775198533903483,381,0.022582203318223283,0.014990844254483502,True
L,96,0.02,0.06,1.5,24h,L|96-0.02-0.06-1.5|24h,563,14.444715943799634,563,0.011931182040872108,0.005523515278600266,True
L,96,0.02,0.06,1.5,48h,L|96-0.02-0.06-1.5|48h,519,13.315821624923641,519,0.013751641273905425,0.013147797993113117,True
L,96,0.02,0.06,1.5,96h,L|96-0.02-0.06-1.5|96h,472,12.109957238851559,471,0.018492691595930668,0.014338844913274666,True
L,96,0.02,0.06,2.0,24h,L|96-0.02-0.06-2.0|24h,553,14.188149053145999,553,0.010970466079875967,0.005633495883434416,True
L,96,0.02,0.06,2.0,48h,L|96-0.02-0.06-2.0|48h,512,13.136224801466097,512,0.01305929218601238,0.013204679395353821,True
L,96,0.02,0.06,2.0,96h,L|96-0.02-0.06-2.0|96h,466,11.956017104459377,465,0.01771112504491881,0.014252744185184003,True
L,96,0.02,0.06,3.0,24h,L|96-0.02-0.06-3.0|24h,496,12.725717776420282,496,0.011845008314585964,0.005825746154395809,True
L,96,0.02,0.06,3.0,48h,L|96-0.02-0.06-3.0|48h,466,11.956017104459377,466,0.01317638386846305,0.013243007167611669,True
L,96,0.02,0.06,3.0,96h,L|96-0.02-0.06-3.0|96h,434,11.135003054367747,433,0.015300512472560366,0.013985231387341477,True
L,192,0.005,0.03,1.5,24h,L|192-0.005-0.03-1.5|24h,2345,60.16493585827734,2345,0.004763897725038608,0.002676507947237798,True
L,192,0.005,0.03,1.5,48h,L|192-0.005-0.03-1.5|48h,1927,49.440439828955405,1927,0.012240356667904127,0.00648867896650505,True
L,192,0.005,0.03,1.5,96h,L|192-0.005-0.03-1.5|96h,1591,40.819792302993285,1589,0.009485664214952068,0.010269524618927035,True
L,192,0.005,0.03,2.0,24h,L|192-0.005-0.03-2.0|24h,2185,56.059865607819184,2185,0.005128086552760169,0.0028538074656685665,True
L,192,0.005,0.03,2.0,48h,L|192-0.005-0.03-2.0|48h,1817,46.61820403176543,1817,0.012715212210981645,0.006713930065743268,True
L,192,0.005,0.03,2.0,96h,L|192-0.005-0.03-2.0|96h,1518,38.94685400122175,1516,0.010256759703872376,0.010221103303871536,True
L,192,0.005,0.03,3.0,24h,L|192-0.005-0.03-3.0|24h,1830,46.95174098961515,1830,0.0063125967512727855,0.0033934300202131634,True
L,192,0.005,0.03,3.0,48h,L|192-0.005-0.03-3.0|48h,1579,40.51191203420892,1579,0.012563471658031318,0.007141022172141918,True
L,192,0.005,0.03,3.0,96h,L|192-0.005-0.03-3.0|96h,1338,34.32864996945632,1336,0.010898734535687219,0.011188035731750144,True
L,192,0.005,0.04,1.5,24h,L|192-0.005-0.04-1.5|24h,2371,60.832009773976786,2371,0.00483463064110868,0.002732009270374264,True
L,192,0.005,0.04,1.5,48h,L|192-0.005-0.04-1.5|48h,1940,49.773976786805136,1940,0.01248685316436589,0.00643720584497989,True
L,192,0.005,0.04,1.5,96h,L|192-0.005-0.04-1.5|96h,1603,41.127672571777644,1601,0.009561555141604644,0.010231453425897092,True
L,192,0.005,0.04,2.0,24h,L|192-0.005-0.04-2.0|24h,2213,56.77825290164936,2213,0.0053120432384842365,0.0028981227008162466,True
L,192,0.005,0.04,2.0,48h,L|192-0.005-0.04-2.0|48h,1831,46.97739767868052,1831,0.012956195712861735,0.006676302535771867,True
L,192,0.005,0.04,2.0,96h,L|192-0.005-0.04-2.0|96h,1531,39.280390959071475,1529,0.010482152198828814,0.01020340093398637,True
L,192,0.005,0.04,3.0,24h,L|192-0.005-0.04-3.0|24h,1860,47.72144166157606,1860,0.006615721511532622,0.0033262199698120705,True
L,192,0.005,0.04,3.0,48h,L|192-0.005-0.04-3.0|48h,1600,41.05070250458155,1600,0.012562961772638383,0.007051530451157003,True
L,192,0.005,0.04,3.0,96h,L|192-0.005-0.04-3.0|96h,1356,34.79047037263287,1354,0.01141492819492878,0.011008789020737793,True
L,192,0.005,0.06,1.5,24h,L|192-0.005-0.06-1.5|24h,2388,61.26817348808797,2388,0.004773280092851532,0.0026483477424778853,True
L,192,0.005,0.06,1.5,48h,L|192-0.005-0.06-1.5|48h,1953,50.10751374465486,1953,0.012016291059429272,0.006308825779816535,True
L,192,0.005,0.06,1.5,96h,L|192-0.005-0.06-1.5|96h,1609,41.281612706169824,1606,0.00993815954072258,0.010153370528612371,True
L,192,0.005,0.06,2.0,24h,L|192-0.005-0.06-2.0|24h,2231,57.240073304825906,2231,0.0053455408257451365,0.0028050406818086356,True
L,192,0.005,0.06,2.0,48h,L|192-0.005-0.06-2.0|48h,1845,47.336591325595606,1845,0.012452762396890315,0.0064954319095369365,True
L,192,0.005,0.06,2.0,96h,L|192-0.005-0.06-2.0|96h,1537,39.434331093463655,1534,0.010905691533538053,0.010125922410055999,True
L,192,0.005,0.06,3.0,24h,L|192-0.005-0.06-3.0|24h,1883,48.31154551007941,1883,0.006775269847163636,0.003157912733148751,True
